".model","armse","amae","amape","srmse","smae","smape","h","i"
"ols",3231.79509566967,2391.94763068313,48.2884784293667,6210.47839777114,4249.42778442208,78.4287643672688,3,142
"wlss",3183.57136264467,2416.13411526034,27.3647245836091,6225.65265115602,4425.48219169317,25.399583936103,3,142
"wlsv",3188.53181806113,2299.61368428082,23.7030907196005,6290.3005745477,4148.18265470803,18.9401017150319,3,142
"base",2277.95727750214,1900.69444970234,20.2296289488261,4252.73856008181,3465.97020116065,11.0552714401735,3,143
"bu",2291.35830988237,1943.53396873248,20.451126445768,4266.05021951152,3561.72888668271,11.2015976182644,3,143
"mint",2218.2015189425,1922.33006477964,22.9677976687868,4020.3498080402,3479.68533412017,14.0477215161653,3,143
"ols",2374.54868705786,1959.49048160275,44.7678390117518,4382.80034920254,3492.14235915889,70.9920018263821,3,143
"wlss",2366.75121173646,1965.31345166376,29.3942538011105,4471.54882690045,3590.47033674809,35.0789206720396,3,143
"wlsv",2302.57291723839,1866.76264529176,19.9878378228026,4308.44908597736,3360.4820687853,11.1673880922698,3,143
"base",2218.16445085527,1666.76828674143,20.0667628179143,3962.83422625149,2816.7750199421,12.4239747086882,3,144
"bu",2254.32141894531,1719.22709083047,20.0649664621029,4117.53498489534,2996.98992933147,12.4943847997684,3,144
"mint",2248.89305674775,1882.93555169199,22.2283043187773,3863.66871307088,3152.05031452235,11.5929518780811,3,144
"ols",2358.27955485419,1762.82859597075,35.4345559776101,4248.05651974016,3008.74712083792,40.4404665014366,3,144
"wlss",2290.94047920328,1700.51019356175,23.3711559739248,4162.25106473109,2928.29335215209,15.2063561265445,3,144
"wlsv",2359.73957114875,1768.41418964171,20.4028439746668,4320.16787872718,3085.31456606037,12.2456652239151,3,144
"base",3404.00800267851,2802.18136042487,20.2931615663448,7264.50362456315,5919.35759073127,15.7613850644837,3,145
"bu",3399.20215588077,2808.17644721389,20.1031082734393,7235.90814192774,5945.15672515658,15.8410752081677,3,145
"mint",3491.98592764519,2895.59627805723,20.2854849592002,7536.6118192597,6227.506361339,15.5752044146442,3,145
"ols",3527.29588825938,2956.52583469219,31.2680018483798,7378.04939903422,6102.47684608787,30.8081156607702,3,145
"wlss",3465.71903494801,2900.91859309407,30.2335348959934,7272.18048882236,6017.17258538355,29.9986423238995,3,145
"wlsv",3484.19905762645,2894.66766554609,20.0361089605077,7457.50941109931,6175.31221596114,15.8485431295655,3,145
"base",3285.29720035456,2699.31362049884,23.9777846022811,6798.10972788064,5439.35206356474,18.0339554315023,3,146
"bu",3329.23230916146,2718.02696634598,23.9353246714953,6929.47674579924,5510.17049281654,18.0825054843796,3,146
